NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Yelabuga,YELABUGA,ALL#WORLD#EUR#RUS#VOLFD#TATFS#YELABUGA,false,,CITY,RUS,3,THIRD-LEVEL ADMINISTRATIVE DIVISION,2
Concepción del Uruguay,CCPCU,ALL#WORLD#SOAME#ARG#MESAR#ENRME#CCPCU,false,,CITY,ARG,3,CITY,2
Burgenland,AUT_BURGENLAND,ALL#WORLD#EUR#AUT#AUT_BURGENLAND,false,,COUNTY,AUT,1,STATE,2
Lima,PORT_ARLIM,ALL#WORLD#SOAME#ARG#PORT_ARLIM,false,,PORT_TERMINAL,ARG,1,PORT_TERMINAL,2
Southwestern,BG41,ALL#WORLD#EUR#BGR#BG4#BG41,false,,REGION,BGR,2,MUNICIPALITY,2
Altenkirchen (Westerwald),DEB13,ALL#WORLD#EUR#DEU#DEB#DEB1#DEB13,false,,DEPARTMENT,DEU,3,MUNICIPALITY,2
County of Bentheim,COUNTYOFBENTHEIM-GER,ALL#WORLD#EUR#DEU#LOWSA#COUNTYOFBENTHEIM-GER,false,,TERRITORY,DEU,2,DISTRICT,2
Porto Velho,PORT_BRPVH,ALL#WORLD#SOAME#BRA#PORT_BRPVH,false,,PORT_TERMINAL,BRA,1,PORT_TERMINAL,2
Skaw,PORT_SKAW,ALL#WORLD#EUR#DNK#PORT_SKAW,false,,CITY,DNK,1,REGION,2
Reutlingen,REUTLINGEN---GER,ALL#WORLD#EUR#DEU#BADEW#REUTLINGEN---GER,false,,TERRITORY,DEU,2,DISTRICT,2
Mizushima,PORT_MIZU,ALL#WORLD#ASIA#JPN#PORT_MIZU,false,,CITY,JPN,1,PREFECTURE,2
Abruzzo,ITF1,ALL#WORLD#EUR#ITA#ITF#ITF1,false,,REGION,ITA,2,PROVINCE,2
Vechta,DE94F,ALL#WORLD#EUR#DEU#DE9#DE94#DE94F,false,,DEPARTMENT,DEU,3,MUNICIPALITY,2
As-Salif,PORT_YESAL,ALL#WORLD#ASIA#YEM#PORT_YESAL,false,,PORT_TERMINAL,YEM,1,PORT_TERMINAL,2
